DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20120702|5|234|2013983.99
20120702|2|309|39175
20120702|5|311|41899.84
20120702|2|111|4399840
20120702|5|2|84290000
20120702|5|281|9550202.51
20120702|5|97|15411885.25
20120702|2|329|27097.83
20120702|2|95|11840847
20120702|2|235|19515.86
20120702|5|355|5000
20120702|5|107|1843572.77
20120702|5|362|75073.75
20120702|2|359|14500
20120702|5|87|143695.83
20120702|2|23|1065000000
20120702|1|118|4241089.17
20120702|4|118|49207.82
20120702|5|247|373.94
20120702|2||1896231625.2
20120702|5||2470145270.2
20120702|5|286|22774590.17
20120702|2|354|1343100.94
20120702|5|264|522372181.81
20120702|5|235|27097.83
20120702|2|88|27008.79
20120702|5|13|4985488.38
20120702|2|227|163637226.49
20120702|6|261|15039760.54
20120702|2|376|5400000
20120702|5|120|34711647.79
20120702|2|18|13800000000
20120702|5|126|315
20120702|2|338|6.94
20120702|5|303|1430024.65
20120702|2|250|96303220.12
20120702|2|85|3164318.35
20120702|2|87|343781.08
20120702|1|2|72060500
20120702|2|1|146613984
20120702|4|261|100183095
20120702|2|261|1551939078.24
20120702|2|236|36273006.92
20120702|5|237|716.69
20120702|5|333|749434.66
20120702|2|362|601610
20120702|5|261|1466851506.66
20120702|2|228|493308.32
20120702|5|258|722367273.13
20120702|6|229|7180411.78
20120702|5|7|22705655864.68
20120702|1|358|28000
20120702|4|227|291.34
20120702|5|351|1000
20120702|5|23|565625000
20120702|5|224|13003.77
20120702|2|16|3000000000
20120702|5|16|6500000000
20120702|5|330|4156.51
20120702|5|321|98007.1
20120702|1|260|234700
20120702|5|283|6832.12
20120702|5|229|115848763.47
20120702|5|111|6746952.56
20120702|2|353|3915387.56
20120702|4|1|6880531914.5
20120702|2|281|22064.49
20120702|5|282|3191326.77
20120702|5|255|595021251.45
20120702|5|86|18195.11
20120702|2|346|98400
20120702|2|347|389502.5
20120702|1|258|487402549.37
20120702|5|328|6.53
20120702|6|260|29236638.58
20120702|2|125|37415157568.8
20120702|2|92|2852.81
20120702|5|238|6.94
20120702|5|316|14479247.55
20120702|5|250|75288097.45
20120702|5|294|75259311.32
20120702|2|8|2278554083.4
20120702|5|260|12350428854.3
20120702|2|328|2012298.8
20120702|2|358|4353649
20120702|2|264|411007157.68
20120702|2|337|716.69
20120702|2|330|735986.96
20120702|2|327|12985348.81
20120702|2|6|781926324.8
20120702|6|6|1640033
20120702|4|264|351880000
20120702|3|8|15886538.79
20120702|4|2|6902000
20120702|5|1|45317295
20120702|5|358|64680
20120702|1|111|98375
20120702|5|312|23829.61
20120702|2|79|6.73
20120702|5|85|2269.79
20120702|2|104|12714730.34
20120702|2|118|305099.63
20120702|2|332|373.94
20120702|2|94|68.9
20120702|2|93|195.69
20120702|3|6|487495598.98
20120702|5|6|2254645163.77
20120702|5|228|469209.81
20120702|4|316|27533.93
20120702|5|313|1566820.57
20120702|2|86|11324529.65
20120702|5|236|19484805.27
20120702|3|255|265797406.67
20120702|2|97|10933743.17
20120702|2|9|20044588.53
20120702|2|13|3154073.37
20120702|5|124|35870576.61
20120702|2|12|146230.63
20120702|2|350|344075
20120702|1|264|529945000
20120702|2|356|529180
20120702|5|8|924442545.84
20120702|2|345|3750
20120702|2|7|21985509343.2
20120702|5|356|24000
20120702|5|104|2578961.75
20120702|2|224|13003.77
20120702|5|291|2852.81
20120702|5|18|12350000000
20120702|5|292|68.75
