DW_DATE_KEY|DATE_TIME|DW_HOUR_KEY|ATM_MIN|TERMINAL_ID|SHORT_NAME|D_ATM_TERMINAL_KEY|DW_ATM_TERM_TYPE_ID|DW_ATM_TERM_STAT_KEY|D_DENOMINATION_KEY|DW_ATM_CASH_STAT_KEY|COUNT_LEFT|COUNT_INIT|COUNT_DISBURSED|AMOUNT_LEFT|AMOUNT_INITIAL|AMOUNT_DISBURSED
20130811|11-aug-2013 23:07:11|24|7|10840001|WINCOR_HQ_ATM2|1|2|2|2|1|1372|1398|26|686000|699000|13000
20130811|11-aug-2013 23:07:11|24|7|10840001|WINCOR_HQ_ATM2|1|2|2|1|3|163|2896|2733|163000|2896000|2733000
20130811|11-aug-2013 23:07:11|24|7|10840016|WINCOR_FPEARSE_ATM1|17|2|2|2|1|995|998|3|497500|499000|1500
20130811|11-aug-2013 23:07:11|24|7|10840016|WINCOR_FPEARSE_ATM1|17|2|2|1|1|289|499|210|289000|499000|210000
20130811|11-aug-2013 23:07:11|24|7|10840017|WINCOR_AJAO_ATM1|19|2|2|2|1|1557|1572|15|778500|786000|7500
20130811|11-aug-2013 23:07:11|24|7|10840017|WINCOR_AJAO_ATM1|19|2|2|1|2|108|510|402|108000|510000|402000
20130811|11-aug-2013 23:07:11|24|7|10840021|WINCOR_E METTA_ATM1|22|2|2|2|1|1290|1299|9|645000|649500|4500
20130811|11-aug-2013 23:07:11|24|7|10840021|WINCOR_E METTA_ATM1|22|2|2|1|1|156|445|289|156000|445000|289000
20130811|11-aug-2013 23:07:11|24|7|10840031|WINCOR_OGUIRD_ATM1|32|2|2|2|1|392|399|7|196000|199500|3500
20130811|11-aug-2013 23:07:11|24|7|10840031|WINCOR_OGUIRD_ATM1|32|2|2|1|1|724|999|275|724000|999000|275000
20130811|11-aug-2013 23:07:11|24|7|10840032|WINCOR_DOUGLAS_ATM1|33|2|3|2|1|987|998|11|493500|499000|5500
20130811|11-aug-2013 23:07:11|24|7|10840032|WINCOR_DOUGLAS_ATM1|33|2|3|1|1|1232|1598|366|1232000|1598000|366000
20130811|11-aug-2013 23:07:11|24|7|10840038|WINCOR_CAMRDABA_ATM1|40|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840038|WINCOR_CAMRDABA_ATM1|40|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840039|WINCOR_OBJPH_ATM|41|2|2|2|1|1995|1998|3|997500|999000|1500
20130811|11-aug-2013 23:07:11|24|7|10840039|WINCOR_OBJPH_ATM|41|2|2|1|1|1713|1998|285|1713000|1998000|285000
20130811|11-aug-2013 23:07:11|24|7|10840040|WINCOR_WARRI_ATM1|42|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840040|WINCOR_WARRI_ATM1|42|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840046|WINCOR_CALABAR_ATM1|50|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840046|WINCOR_CALABAR_ATM1|50|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840047|WINCOR_EKET_ATM1|51|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840047|WINCOR_EKET_ATM1|51|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840051|WINCOR_UMUAHIA_ATM1|55|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840051|WINCOR_UMUAHIA_ATM1|55|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840053|WINCOR_ASPAMDA_ATM1|57|2|1|2|1|996|996|0|498000|498000|0
20130811|11-aug-2013 23:07:11|24|7|10840053|WINCOR_ASPAMDA_ATM1|57|2|1|1|1|997|997|0|997000|997000|0
20130811|11-aug-2013 23:07:11|24|7|10840054|WINCOR_IKOYI_ATM1|58|2|3|2|1|1965|1974|9|982500|987000|4500
20130811|11-aug-2013 23:07:11|24|7|10840054|WINCOR_IKOYI_ATM1|58|2|3|1|1|805|1362|557|805000|1362000|557000
20130811|11-aug-2013 23:07:11|24|7|10840058|WINCOR_OGUNLANA_ATM1|62|2|2|2|1|1508|1569|61|754000|784500|30500
20130811|11-aug-2013 23:07:11|24|7|10840058|WINCOR_OGUNLANA_ATM1|62|2|2|1|3|4|1022|1018|4000|1022000|1018000
20130811|11-aug-2013 23:07:11|24|7|10840062|WINCOR_ASABA_ATM1|66|2|3|2|1|991|994|3|495500|497000|1500
20130811|11-aug-2013 23:07:11|24|7|10840062|WINCOR_ASABA_ATM1|66|2|3|1|1|945|992|47|945000|992000|47000
20130811|11-aug-2013 23:07:11|24|7|10840063|WINCOR_NKPOR_ATM1|67|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840063|WINCOR_NKPOR_ATM1|67|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840068|WINCOR_TRANSPH_ATM|72|2|2|2|1|1990|1998|8|995000|999000|4000
20130811|11-aug-2013 23:07:11|24|7|10840068|WINCOR_TRANSPH_ATM|72|2|2|1|1|497|999|502|497000|999000|502000
20130811|11-aug-2013 23:07:11|24|7|10840070|WINCOR_PHROAD_ATM1|74|2|2|2|3|0|198|198|0|99000|99000
20130811|11-aug-2013 23:07:11|24|7|10840070|WINCOR_PHROAD_ATM1|74|2|2|1|1|100|199|99|100000|199000|99000
20130811|11-aug-2013 23:07:11|24|7|10840073|WINCOR_WHARFRD_ATM1|76|2|2|2|1|815|1076|261|407500|538000|130500
20130811|11-aug-2013 23:07:11|24|7|10840073|WINCOR_WHARFRD_ATM1|76|2|2|1|3|4|477|473|4000|477000|473000
20130811|11-aug-2013 23:07:11|24|7|10840079|WINCOR_BENIN_ATM1|79|2|3||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840079|WINCOR_BENIN_ATM1|79|2|3||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840081|WINCOR_ABEOKRD_ATM1|80|2|2|2|3|0|0|0|0|0|0
20130811|11-aug-2013 23:07:11|24|7|10840081|WINCOR_ABEOKRD_ATM1|80|2|2|1|2|613|3864|3251|613000|3864000|3251000
20130811|11-aug-2013 23:07:11|24|7|10840092|WINCOR_ILUPEJU_ATM1|89|2|2|2|1|25|45|20|12500|22500|10000
20130811|11-aug-2013 23:07:11|24|7|10840092|WINCOR_ILUPEJU_ATM1|89|2|2|1|1|311|1212|901|311000|1212000|901000
20130811|11-aug-2013 23:07:11|24|7|10840094|WINCOR_NAVYTOWN_ATM1|90|2|3|2|1|361|998|637|180500|499000|318500
20130811|11-aug-2013 23:07:11|24|7|10840094|WINCOR_NAVYTOWN_ATM1|90|2|3|1|1|102|399|297|102000|399000|297000
20130811|11-aug-2013 23:07:11|24|7|10840096|WINCOR_OKOTA_ATM1|93|2|2|2|3|78|2142|2064|39000|1071000|1032000
20130811|11-aug-2013 23:07:11|24|7|10840096|WINCOR_OKOTA_ATM1|93|2|2|1|3|0|1023|1023|0|1023000|1023000
20130811|11-aug-2013 23:07:11|24|7|10840104|WINCOR_NEWMKTRD_ATM1|101|2|2|2|3|13|990|977|6500|495000|488500
20130811|11-aug-2013 23:07:11|24|7|10840104|WINCOR_NEWMKTRD_ATM1|101|2|2|1|1|167|365|198|167000|365000|198000
20130811|11-aug-2013 23:07:11|24|7|10840106|WINCOR_UYO_ATM1|103|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840106|WINCOR_UYO_ATM1|103|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840107|WINCOR_YENOGOA_ATM1|104|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840107|WINCOR_YENOGOA_ATM1|104|2|1||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840128|WINCOR_CANAANLD_ATM1|120|2|2|2|1|3160|3172|12|1580000|1586000|6000
20130811|11-aug-2013 23:07:11|24|7|10840128|WINCOR_CANAANLD_ATM1|120|2|2|1|3|39|1031|992|39000|1031000|992000
20130811|11-aug-2013 23:07:11|24|7|10840143|WINCOR_AJAH_ATM1|136|2|2|2|3|55|999|944|27500|499500|472000
20130811|11-aug-2013 23:07:11|24|7|10840143|WINCOR_AJAH_ATM1|136|2|2|1|3|0|999|999|0|999000|999000
20130811|11-aug-2013 23:07:11|24|7|10840145|WINCOR_ALLEN_ATM1|137|2|1|2|1|272|998|726|136000|499000|363000
20130811|11-aug-2013 23:07:11|24|7|10840145|WINCOR_ALLEN_ATM1|137|2|1|1|3|0|0|0|0|0|0
20130811|11-aug-2013 23:07:11|24|7|10840147|WINCOR_MARTINS_ATM1|140|2|2|2|1|1531|1544|13|765500|772000|6500
20130811|11-aug-2013 23:07:11|24|7|10840147|WINCOR_MARTINS_ATM1|140|2|2|1|1|481|1570|1089|481000|1570000|1089000
20130811|11-aug-2013 23:07:11|24|7|10840166|WINCOR_AODEKU_ATM1|155|2|2|2|1|897|898|1|448500|449000|500
20130811|11-aug-2013 23:07:11|24|7|10840166|WINCOR_AODEKU_ATM1|155|2|2|1|1|679|897|218|679000|897000|218000
20130811|11-aug-2013 23:07:11|24|7|10840171|WINCOR_UNIZIK_ATM1|159|2|2|2|1|996|998|2|498000|499000|1000
20130811|11-aug-2013 23:07:11|24|7|10840171|WINCOR_UNIZIK_ATM1|159|2|2|1|1|893|998|105|893000|998000|105000
20130811|11-aug-2013 23:07:11|24|7|10840172|DIEBOLD_HQANNEX_ATM1||1|2|2|1|494|500|6|247000|250000|3000
20130811|11-aug-2013 23:07:11|24|7|10840172|DIEBOLD_HQANNEX_ATM1||1|2|1|1|1528|1758|230|1528000|1758000|230000
20130811|11-aug-2013 23:07:11|24|7|10840091|WINCOR_CMALL_ATM1||2|2|2|1|988|998|10|494000|499000|5000
20130811|11-aug-2013 23:07:11|24|7|10840091|WINCOR_CMALL_ATM1||2|2|1|3|20|1498|1478|20000|1498000|1478000
20130811|11-aug-2013 23:07:11|24|7|10840042|WINCOR_AGIDINGB_ATM1||2|3||-1||||||
20130811|11-aug-2013 23:07:11|24|7|10840042|WINCOR_AGIDINGB_ATM1||2|3||-1||||||
