DW_DATE_KEY|DW_BUDGET_SBU_KEY|DW_BUDGET_ITEM_KEY|BUDGET_AMT|ACTUAL_AMT|VARIANCE
20121031|140|2|242400000|6523963.67|235876036.33
20121031|141|1|898000000|347323903.78|550676096.22
20121031|141|2|179600000|69222748.24|110377251.76
20121031|142|1|1358000000|0|1358000000
20121031|142|2|271600000|0|271600000
20121031|143|1|1406000000|699001005.58|706998994.42
20121031|143|2|281200000|48992170.54|232207829.46
20121031|144|1|1406000000|782119768.4|623880231.6
20121031|144|2|281200000|5824726.07|275375273.93
20121031|145|1|1246000000|465164437.44|780835562.56
20121031|145|2|249200000|25215561.92|223984438.08
20121031|146|1|1166000000|462140093.49|703859906.51
20121031|146|2|233200000|61970927.02|171229072.98
20121031|147|1|755000000|421824058.12|333175941.88
20121031|147|2|151000000|24895707.28|126104292.72
20121031|148|1|1525000000|3238.22|1524996761.78
20121031|148|2|305000000|0|305000000
20121031|149|1|1414000000|336708543.09|1077291456.91
20121031|149|2|282800000|8483105.3|274316894.7
20121031|150|1|881000000|334141166.21|546858833.79
20121031|150|2|176200000|10527692.1|165672307.9
20121031|151|1|1700000000|909740940.9|790259059.1
20121031|151|2|340000000|29337701.5|310662298.5
20121031|152|1|1834000000|1134318845.39|699681154.61
20121031|152|2|458500000|139541183.64|318958816.36
20121031|153|1|2528000000|680452856.93|1847547143.07
20121031|153|2|632000000|148259020.61|483740979.39
20121031|154|1|1368000000|818720502.34|549279497.66
20121031|154|2|342000000|5324322.76|336675677.24
20121031|155|1|1130000000|560995163.88|569004836.12
20121031|155|2|282500000|100518831.25|181981168.75
20121031|156|1|1495000000|628949600.51|866050399.49
20121031|156|2|373750000|39357289.72|334392710.28
20121031|157|1|1244000000|644213503.93|599786496.07
20121031|157|2|311000000|85548652.54|225451347.46
20121031|158|1|1153000000|1508310451.25|-355310451.25
20121031|158|2|288250000|472278102.94|-184028102.94
20121031|159|1|1630000000|1394532775.4|235467224.6
20121031|159|2|407500000|20966998.5|386533001.5
20121031|160|1|2480000000|539346810.46|1940653189.54
20121031|160|2|620000000|1741438.02|618258561.98
20121031|161|1|47204000000|14037318610.98|33166681389.02
20121031|161|2|4720400000|12186921.33|4708213078.67
20121130|19|1|1833000000|574912506.59|1258087493.41
20121130|19|2|366600000|151825192.81|214774807.19
20121130|20|1|1610000000|921379390.59|688620609.41
20121130|91|2|233800000|43491331.93|190308668.07
20121130|92|1|1943000000|1752307961.87|190692038.13
20121130|92|2|388600000|739350275.19|-350750275.19
20121130|93|1|979000000|640166442.77|338833557.23
20121130|93|2|195800000|366496699.64|-170696699.64
20121130|94|1|1643000000|604595819.53|1038404180.47
20121130|94|2|328600000|236383669.31|92216330.69
20121130|95|1|1321000000|372263663.58|948736336.42
20121130|95|2|264200000|372640014.01|-108440014.01
20121130|96|1|1322000000|601987650.36|720012349.64
20121130|96|2|264400000|57649583.71|206750416.29
20121130|97|1|848000000|93141557.8|754858442.2
20121130|97|2|169600000|39419180.15|130180819.85
20121130|98|1|2025000000|853962970.77|1171037029.23
20121130|98|2|405000000|654090974.95|-249090974.95
20121130|99|1|712000000|420403441.18|291596558.82
20121130|99|2|142400000|134331929.04|8068070.96
20121130|100|1|589000000|2182994.52|586817005.48
20121130|100|2|117800000|4236190.66|113563809.34
20121130|101|1|1325000000|852631939.79|472368060.21
20121130|101|2|265000000|204583058.73|60416941.27
20121130|102|1|1276000000|574056157.45|701943842.55
20121130|102|2|255200000|112014114.92|143185885.08
20121130|103|1|824000000|499751411.04|324248588.96
20121130|103|2|164800000|534189486.01|-369389486.01
20121130|104|1|1731000000|926079624.43|804920375.57
20121130|104|2|346200000|171745517.71|174454482.29
20121130|105|1|1034000000|856663383.61|177336616.39
20121130|105|2|206800000|55715199.92|151084800.08
20121130|106|1|506000000|180199931.75|325800068.25
20121130|106|2|101200000|61048502.95|40151497.05
20121130|107|1|765000000|689206416.48|75793583.52
20121130|107|2|153000000|497183039.52|-344183039.52
20121130|108|1|0|0|0
20121130|108|2|0|0|0
20121130|109|1|488000000|317291197.49|170708802.51
20121130|109|2|97600000|142208217.13|-44608217.13
20121130|110|1|490000000|224397640.61|265602359.39
20121130|110|2|98000000|59761771.39|38238228.61
20121130|111|1|830000000|514934541.63|315065458.37
20121130|111|2|166000000|42850582.27|123149417.73
20121130|112|1|491000000|361612885.54|129387114.46
20121130|112|2|98200000|64967390.42|33232609.58
20121130|113|1|0|90490.82|-90490.82
20121130|113|2|0|0|0
20121130|114|1|479000000|344615280.37|134384719.63
20121130|114|2|95800000|5779201.63|90020798.37
20121130|115|1|782000000|447806806.42|334193193.58
20121130|115|2|156400000|117517508.51|38882491.49
20121130|116|1|2705000000|756343319.3|1948656680.7
20121130|116|2|541000000|48940840.2|492059159.8
20121130|117|1|1158000000|350522189.35|807477810.65
20121130|117|2|231600000|34439266.87|197160733.13
20121130|118|1|1882000000|1438173904.07|443826095.93
20121130|118|2|376400000|24768806.53|351631193.47
20121130|119|1|1355000000|1442177952.43|-87177952.43
20121130|119|2|271000000|17595565.67|253404434.33
20121130|120|1|596000000|213099424.85|382900575.15
20121130|120|2|119200000|31714508.06|87485491.94
20121130|121|1|486000000|225956343.46|260043656.54
20121130|121|2|97200000|93356931.28|3843068.72
20121130|122|1|965000000|293034843.32|671965156.68
20121130|122|2|193000000|30557138.15|162442861.85
20121130|123|1|1008000000|369784009.28|638215990.72
20121130|123|2|201600000|91614349.82|109985650.18
20121130|124|1|1046000000|335251726|710748274
20121130|124|2|209200000|26633040.09|182566959.91
20121130|125|1|899000000|386400336.92|512599663.08
20121130|125|2|179800000|29981241.52|149818758.48
20121130|126|1|818000000|251739913.52|566260086.48
20121130|126|2|163600000|51280574.16|112319425.84
20121130|127|1|852000000|296848033.22|555151966.78
20121130|127|2|170400000|116945851.14|53454148.86
20121130|128|1|16159000000|1085653.35|16157914346.65
20121130|128|2|1615900000|0|1615900000
